INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ]  step 1
INFO:root:[ iteration ] l2-l1  -998676.618 - -133812.114 = -864864.503 
INFO:root:[ iteration ]  step 2
INFO:root:[ iteration ] l2-l1  -995918.668 - -998676.618 = 2757.950 
INFO:root:[ iteration ]  step 3
INFO:root:[ iteration ] l2-l1  -993144.038 - -995918.668 = 2774.629 
INFO:root:[ iteration ]  step 4
INFO:root:[ iteration ] l2-l1  -990456.662 - -993144.038 = 2687.377 
INFO:root:[ iteration ]  step 5
INFO:root:[ iteration ] l2-l1  -988109.336 - -990456.662 = 2347.326 
INFO:root:[ iteration ]  step 6
INFO:root:[ iteration ] l2-l1  -986203.670 - -988109.336 = 1905.666 
INFO:root:[ iteration ]  step 7
INFO:root:[ iteration ] l2-l1  -984714.141 - -986203.670 = 1489.529 
INFO:root:[ iteration ]  step 8
INFO:root:[ iteration ] l2-l1  -983558.411 - -984714.141 = 1155.730 
INFO:root:[ iteration ]  step 9
INFO:root:[ iteration ] l2-l1  -982653.914 - -983558.411 = 904.497 
INFO:root:[ iteration ]  step 10
INFO:root:[ iteration ] l2-l1  -981933.453 - -982653.914 = 720.461 
INFO:root:[ iteration ]  step 11
INFO:root:[ iteration ] l2-l1  -981342.907 - -981933.453 = 590.547 
INFO:root:[ iteration ]  step 12
INFO:root:[ iteration ] l2-l1  -980852.659 - -981342.907 = 490.248 
INFO:root:[ iteration ]  step 13
INFO:root:[ iteration ] l2-l1  -980443.978 - -980852.659 = 408.681 
INFO:root:[ iteration ]  step 14
INFO:root:[ iteration ] l2-l1  -980097.189 - -980443.978 = 346.788 
INFO:root:[ iteration ]  step 15
INFO:root:[ iteration ] l2-l1  -979792.733 - -980097.189 = 304.457 
INFO:root:[ iteration ]  step 16
INFO:root:[ iteration ] l2-l1  -979521.099 - -979792.733 = 271.633 
INFO:root:[ iteration ]  step 17
INFO:root:[ iteration ] l2-l1  -979276.421 - -979521.099 = 244.679 
INFO:root:[ iteration ]  step 18
INFO:root:[ iteration ] l2-l1  -979052.058 - -979276.421 = 224.363 
INFO:root:[ iteration ]  step 19
INFO:root:[ iteration ] l2-l1  -978843.490 - -979052.058 = 208.568 
INFO:root:[ iteration ]  step 20
INFO:root:[ iteration ] l2-l1  -978649.354 - -978843.490 = 194.136 
INFO:root:[ iteration ]  step 21
INFO:root:[ iteration ] l2-l1  -978469.990 - -978649.354 = 179.363 
INFO:root:[ iteration ]  step 22
INFO:root:[ iteration ] l2-l1  -978300.530 - -978469.990 = 169.460 
INFO:root:[ iteration ]  step 23
INFO:root:[ iteration ] l2-l1  -978140.659 - -978300.530 = 159.870 
INFO:root:[ iteration ]  step 24
INFO:root:[ iteration ] l2-l1  -977994.549 - -978140.659 = 146.110 
INFO:root:[ iteration ]  step 25
INFO:root:[ iteration ] l2-l1  -977859.193 - -977994.549 = 135.356 
INFO:root:[ iteration ]  step 26
INFO:root:[ iteration ] l2-l1  -977731.683 - -977859.193 = 127.510 
INFO:root:[ iteration ]  step 27
INFO:root:[ iteration ] l2-l1  -977613.413 - -977731.683 = 118.270 
INFO:root:[ iteration ]  step 28
INFO:root:[ iteration ] l2-l1  -977499.254 - -977613.413 = 114.159 
INFO:root:[ iteration ]  step 29
INFO:root:[ iteration ] l2-l1  -977387.595 - -977499.254 = 111.660 
INFO:root:[ iteration ]  step 30
INFO:root:[ iteration ] l2-l1  -977279.182 - -977387.595 = 108.413 
INFO:root:[ iteration ]  step 31
INFO:root:[ iteration ] l2-l1  -977173.518 - -977279.182 = 105.664 
INFO:root:[ iteration ]  step 32
INFO:root:[ iteration ] l2-l1  -977068.378 - -977173.518 = 105.140 
INFO:root:[ iteration ]  step 33
INFO:root:[ iteration ] l2-l1  -976963.657 - -977068.378 = 104.721 
INFO:root:[ iteration ]  step 34
INFO:root:[ iteration ] l2-l1  -976861.419 - -976963.657 = 102.238 
INFO:root:[ iteration ]  step 35
INFO:root:[ iteration ] l2-l1  -976763.382 - -976861.419 = 98.037 
INFO:root:[ iteration ]  step 36
INFO:root:[ iteration ] l2-l1  -976670.776 - -976763.382 = 92.606 
INFO:root:[ iteration ]  step 37
INFO:root:[ iteration ] l2-l1  -976584.064 - -976670.776 = 86.712 
INFO:root:[ iteration ]  step 38
INFO:root:[ iteration ] l2-l1  -976500.873 - -976584.064 = 83.191 
INFO:root:[ iteration ]  step 39
INFO:root:[ iteration ] l2-l1  -976419.555 - -976500.873 = 81.317 
INFO:root:[ iteration ]  step 40
INFO:root:[ iteration ] l2-l1  -976341.334 - -976419.555 = 78.222 
INFO:root:[ iteration ]  step 41
INFO:root:[ iteration ] l2-l1  -976264.771 - -976341.334 = 76.562 
INFO:root:[ iteration ]  step 42
INFO:root:[ iteration ] l2-l1  -976190.857 - -976264.771 = 73.914 
INFO:root:[ iteration ]  step 43
INFO:root:[ iteration ] l2-l1  -976120.273 - -976190.857 = 70.584 
INFO:root:[ iteration ]  step 44
INFO:root:[ iteration ] l2-l1  -976053.564 - -976120.273 = 66.709 
INFO:root:[ iteration ]  step 45
INFO:root:[ iteration ] l2-l1  -975992.269 - -976053.564 = 61.295 
INFO:root:[ iteration ]  step 46
INFO:root:[ iteration ] l2-l1  -975932.736 - -975992.269 = 59.533 
INFO:root:[ iteration ]  step 47
INFO:root:[ iteration ] l2-l1  -975869.326 - -975932.736 = 63.411 
INFO:root:[ iteration ]  step 48
INFO:root:[ iteration ] l2-l1  -975804.607 - -975869.326 = 64.718 
INFO:root:[ iteration ]  step 49
INFO:root:[ iteration ] l2-l1  -975744.211 - -975804.607 = 60.396 
INFO:root:[ iteration ]  step 50
INFO:root:[ iteration ] l2-l1  -975688.618 - -975744.211 = 55.593 
INFO:root:[ iteration ]  step 51
INFO:root:[ iteration ] l2-l1  -975632.151 - -975688.618 = 56.467 
INFO:root:[ iteration ]  step 52
INFO:root:[ iteration ] l2-l1  -975568.709 - -975632.151 = 63.442 
INFO:root:[ iteration ]  step 53
INFO:root:[ iteration ] l2-l1  -975503.155 - -975568.709 = 65.554 
INFO:root:[ iteration ]  step 54
INFO:root:[ iteration ] l2-l1  -975443.069 - -975503.155 = 60.086 
INFO:root:[ iteration ]  step 55
INFO:root:[ iteration ] l2-l1  -975386.512 - -975443.069 = 56.557 
INFO:root:[ iteration ]  step 56
INFO:root:[ iteration ] l2-l1  -975329.873 - -975386.512 = 56.640 
INFO:root:[ iteration ]  step 57
INFO:root:[ iteration ] l2-l1  -975276.513 - -975329.873 = 53.359 
INFO:root:[ iteration ]  step 58
INFO:root:[ iteration ] l2-l1  -975227.268 - -975276.513 = 49.246 
INFO:root:[ iteration ]  step 59
INFO:root:[ iteration ] l2-l1  -975180.800 - -975227.268 = 46.467 
INFO:root:[ iteration ]  step 60
INFO:root:[ iteration ] l2-l1  -975136.184 - -975180.800 = 44.616 
INFO:root:[ iteration ]  step 61
INFO:root:[ iteration ] l2-l1  -975092.650 - -975136.184 = 43.534 
INFO:root:[ iteration ]  step 62
INFO:root:[ iteration ] l2-l1  -975049.623 - -975092.650 = 43.026 
INFO:root:[ iteration ]  step 63
INFO:root:[ iteration ] l2-l1  -975008.019 - -975049.623 = 41.604 
INFO:root:[ iteration ]  step 64
INFO:root:[ iteration ] l2-l1  -974965.288 - -975008.019 = 42.731 
INFO:root:[ iteration ]  step 65
INFO:root:[ iteration ] l2-l1  -974916.375 - -974965.288 = 48.913 
INFO:root:[ iteration ]  step 66
INFO:root:[ iteration ] l2-l1  -974859.293 - -974916.375 = 57.083 
INFO:root:[ iteration ]  step 67
INFO:root:[ iteration ] l2-l1  -974802.160 - -974859.293 = 57.132 
INFO:root:[ iteration ]  step 68
INFO:root:[ iteration ] l2-l1  -974751.094 - -974802.160 = 51.066 
INFO:root:[ iteration ]  step 69
INFO:root:[ iteration ] l2-l1  -974697.085 - -974751.094 = 54.009 
INFO:root:[ iteration ]  step 70
INFO:root:[ iteration ] l2-l1  -974649.705 - -974697.085 = 47.380 
INFO:root:[ iteration ]  step 71
INFO:root:[ iteration ] l2-l1  -974611.306 - -974649.705 = 38.398 
INFO:root:[ iteration ]  step 72
INFO:root:[ iteration ] l2-l1  -974577.158 - -974611.306 = 34.148 
INFO:root:[ iteration ]  step 73
INFO:root:[ iteration ] l2-l1  -974545.731 - -974577.158 = 31.427 
INFO:root:[ iteration ]  step 74
INFO:root:[ iteration ] l2-l1  -974514.578 - -974545.731 = 31.153 
INFO:root:[ iteration ]  step 75
INFO:root:[ iteration ] l2-l1  -974481.852 - -974514.578 = 32.726 
INFO:root:[ iteration ]  step 76
INFO:root:[ iteration ] l2-l1  -974454.432 - -974481.852 = 27.420 
INFO:root:[ iteration ]  step 77
INFO:root:[ iteration ] l2-l1  -974428.492 - -974454.432 = 25.940 
INFO:root:[ iteration ]  step 78
INFO:root:[ iteration ] l2-l1  -974399.376 - -974428.492 = 29.116 
INFO:root:[ iteration ]  step 79
INFO:root:[ iteration ] l2-l1  -974366.524 - -974399.376 = 32.852 
INFO:root:[ iteration ]  step 80
INFO:root:[ iteration ] l2-l1  -974334.338 - -974366.524 = 32.187 
INFO:root:[ iteration ]  step 81
INFO:root:[ iteration ] l2-l1  -974304.944 - -974334.338 = 29.393 
INFO:root:[ iteration ]  step 82
INFO:root:[ iteration ] l2-l1  -974279.045 - -974304.944 = 25.899 
INFO:root:[ iteration ]  step 83
